,Municipio,Temperatura_media,Latitude,Longitude
440,pires do rio,23.178276255707765,-17.30416666,-48.28416666
441,quarai,18.54771151178918,-30.368578,-56.437115
442,ouricuri,26.647576568539996,-7.88583333,-40.10277777
443,varginha,20.05433789954338,-21.56638888,-45.40416666
444,ivinhema,26.227255440523983,-22.30055555,-53.82277777
445,rancharia,21.107140775284176,-22.37277777,-50.97472221
446,bacabal,27.750723589001446,-4.24305555,-44.79499999
447,ituporanga,21.793193971803596,-27.41833332,-49.64694444
448,manacapuru,26.932686532686535,-3.29472221,-60.62833332
449,monte alegre de goias,25.10590331393277,-13.253521,-46.890326
450,serra dos aimores,23.21691895512391,-17.79888888,-40.25
451,boa vista,28.80469483568075,2.81694443,-60.69083333
452,divinopolis,21.755045662100457,-20.17333332,-44.87499999
453,cacoal,26.45980985306828,-11.44583333,-61.43416666
454,mal candido rondon,22.069171043617263,-24.53333333,-54.01916666
455,porto grande,25.742430514488465,0.69416666,-51.40388888
456,barueri,19.52402471113145,-23.52388888,-46.86944443
457,tres lagoas,25.303562050462382,-20.78333333,-51.71222222
458,macapa,26.282716371220022,0.03499999,-51.08888888
459,paranaiba,26.52469135802469,-19.69555555,-51.18166666
460,itajai,13.8,-26.95083333,-48.76194444
461,piripiri,28.40406392694064,-4.276047,-41.794568
462,sao borja,20.038782565748857,-28.65,-56.01638888
463,pres kennedy,23.230034246575343,-21.10083333,-41.03944444
465,itabaianinha,24.710664538595474,-11.2725,-37.795
466,frederico westphalen,19.684819825212497,-27.39555555,-53.42944443
467,pradopolis,22.27912765471569,-21.33833333,-48.11388888
468,goioere,26.08542372881356,-24.15833333,-53.03055554
469,jardim,27.17135774218154,-21.4786111,-56.13777777
470,inacio martins,15.954974123059229,-25.567879,-51.077946
471,sacramento,23.50530524673298,-19.87527777,-47.43416666
472,alvorada do gurgueia,26.99511616075971,-8.44166666,-43.86555555
473,erechim,17.959680123823034,-27.65771,-52.305805
474,nossa senhora da gloria,25.037870110880952,-10.20777777,-37.43194443
475,patos,29.797218628719275,-7.07972221,-37.27277777
479,camaqua,18.510513833992093,-30.807953,-51.83424
480,santa rosa do tocantins,25.91423691973296,-11.42888888,-48.18499999
481,timoteo,21.97353881278539,-19.57388888,-42.62249999
483,remanso,28.180428360413593,-9.62555554,-42.07722221
485,aguas vermelhas,20.91433885289177,-15.751536,-41.457787
486,sao joao del rei,19.628618721461187,-21.106502,-44.250928
487,agua clara,24.508698630136987,-20.44444444,-52.87583332
488,carolina,27.06550165188663,-7.33722221,-47.45972222
489,brumado,24.924105212587076,-14.18194443,-41.67222221
490,salinas,23.30380497685185,-16.16027777,-42.31027777
491,rio de janeiro forte de copacabana,22.973918008450383,-22.98833333,-43.19055555
492,lins,24.934699186991867,-21.66611111,-49.73472221
494,pirapora,24.497457290425107,-17.258064,-44.835556
495,ribas do rio pardo,25.58622334455668,-20.466694,-53.763028
496,lagoa da confusao,25.64793858058276,-10.828286,-49.847882
497,rondonopolis,25.49908091004972,-16.4625,-54.58027777
498,ecoporanga,26.586691250419044,-18.29138888,-40.73638888
499,aimores,23.626198630136987,-19.53277777,-41.09083333
500,cabaceiras,27.223421717171718,-7.48333333,-36.28638888
501,tramandai,19.472938962719038,-30.01027777,-50.13583333
502,parana,25.993454885460494,-12.615,-47.87194443
503,areia,22.788754424021008,-6.975451,-35.718128
504,jose bonifacio,25.73536439665472,-21.08555555,-49.92027777
505,gilbues,27.974132947976877,-9.87527777,-45.34583333
506,bom jesus da lapa,27.162866927592955,-13.25111111,-43.40527777
507,belmonte,24.977011494252874,-16.08805555,-39.21527777
508,colinas do tocantins,25.419855222337127,-8.092708,-48.478605
509,castanhal,26.289340962068234,-1.30083333,-47.94805555
510,guiratinga,25.554226859283037,-16.34166666,-53.76611111
511,jales,27.724912375303315,-20.165,-50.59499999
512,barra do corda,28.33430065359477,-5.50666666,-45.23694444
513,sobral,27.924566691785984,-3.74805555,-40.34583333
514,machado,20.299555503567667,-21.680722,-45.944389
515,guanambi,25.68710177372137,-14.20805555,-42.74972221
516,torres,19.187555381808703,-29.35027777,-49.73333333
518,mantena,23.612899543378994,-18.78062,-40.986505
520,vicosa,19.821178216691404,-20.762607,-42.864013
522,cristalina fazenda santa monica ,21.382198625858837,-16.39944444,-47.62583332
523,apodi,27.846865389164893,-5.62666666,-37.815
524,campina verde,25.51155848132272,-19.53921,-49.518133
525,uruguaiana,19.68891324411629,-29.83987,-57.081899
526,tucuma,25.333035714285714,-6.74333333,-51.14194444
528,miranda,24.649027237354087,-20.39555555,-56.43166666
529,poco verde,24.153958070798488,-10.73805555,-38.10833333
530,ibimirim,25.897471974376575,-8.50944444,-37.71166666
532,luiz eduardo magalhaes,24.478068535825543,-12.1525,-45.82972221
534,luziania,22.437728310502283,-16.26055555,-47.96694443
535,santo antonio do leste,27.767500000000002,-14.92777777,-53.8836111
536,macajuba,27.187963220952913,-12.13166666,-40.35416666
537,irece,23.529276090431605,-11.328998,-41.864504
538,pico do couto,13.739937897382818,-22.46472222,-43.29138888
539,chapada gaucha,22.519477848101268,-15.30027777,-45.61749999
540,monteiro,25.30348955163319,-7.89444444,-37.12472221
541,cruz alta,18.27177772653908,-28.60344,-53.673597
542,iguatemi,22.120010944910614,-23.64444444,-54.57027777
543,guanhaes,20.523173397767806,-18.78694444,-42.94305555
544,avare,26.10076433121019,-23.10166666,-48.9411111
545,campina grande,24.051369863013697,-7.225574,-35.904831
547,parati,22.319906610960924,-23.2236111,-44.72694443
548,serra nova dourada,25.74583904892547,-11.98777777,-51.4261111
550,curaca,27.990694137168145,-9.00138888,-39.9125
551,sao jose dos ausentes,13.435209771640999,-28.7486111,-50.05777777
